Year,New,Total
1936,5,5
1937,3,8
1938,1,9
1939,7,16
1940,0,16
1941,0,16
1942,1,17
1943,0,17
1944,0,17
1945,9,26
1946,10,36
1947,4,40
1948,2,42
1949,3,45
1950,0,45
1951,2,47
1952,2,49
1953,4,53
1954,3,56
1955,6,62
1956,2,64
1957,1,65
1958,0,65
1959,1,66
1960,0,66
1961,2,68
1962,3,71
1963,4,75
1964,6,81
1965,1,82
1966,1,83
1967,2,85
1968,3,88
1969,4,92
1970,3,95
1971,7,102
1972,7,109
1973,5,114
1974,5,119
1975,4,123
1976,5,128
1977,5,133
1978,2,135
1979,2,137
1980,3,140
1981,2,142
1982,3,145
1983,3,148
1984,5,153
1985,4,157
1986,3,160
1987,3,163
1988,1,164
1989,3,167
1990,2,169
1991,4,173
1992,3,176
1993,1,177
1994,2,179
1995,4,183
1996,2,185
1997,3,188
1998,4,192
1999,5,197
2000,4,201
2001,4,205
2002,1,206
2003,2,208
2004,2,210
2005,2,212
2006,13,225
2007,2,227
2008,1,228
2009,3,231
2010,1,232
2011,2,234
2012,2,236
2013,1,237
2014,3,240
2015,4,244
2016,2,246
2017,3,249
2018,6,255
2019,6,261
2020,3,264
2021,0,264
2022,5,269
2023,2,271
