player_id,batter_atbats,batter_homeruns,batter_ops,batter_runs,batter_rbi,batter_average,pitcher_innings,pitcher_wins,pitcher_losses,pitcher_era,pitcher_whip,pitcher_saves,pitcher_strikeouts,war,allstar_apps,in_hall_of_fame
yanes01,2,1,0.4,1,1,1,695,33,39,5.14,1.47,51,553,1,0,0
lyonbr01,1,0,0.4,1,1,1,681,42,47,4.16,1.38,79,465,6.3,0,0
campsh01,1,0,0.4,0,0,1,592,29,33,4.41,1.45,12,403,2.1,0,0
jeffcmi01,2,0,0.4,1,1,0.5,500,25,26,4.37,1.45,7,242,2.8,0,0
valvejo01,2,0,0.4,1,0,0.5,630,27,33,3.27,1.2,288,692,11.5,3,0
cottsne01,2,0,0.4,0,0,0.5,443,21,24,3.96,1.35,4,421,5.3,0,0
rodrifr03,2,0,0.4,0,0,0.5,976,52,53,2.86,1.15,437,1142,24.2,6,0
hernaro01,2,0,0.4,0,0,0.5,1071,67,71,3.45,1.37,326,945,18.5,2,0
kruegbi01,15,0,0.867,1,0,0.4,1194,68,66,4.35,1.51,4,639,3,0,0
ohmanwi01,5,0,0.4,0,1,0.4,353,12,16,4.28,1.36,3,336,3.3,0,0
forstte01,78,0,0.887,7,7,0.397,1105,54,65,3.23,1.35,127,791,20.4,0,0
cobbty01,11436,117,0.945,2247,1944,0.366,5,0,0,3.6,1.6,1,0,151.5,0,1
hornsro01,8173,301,1.011,1579,1584,0.358,0,0,0,0,0,0,0,127.3,0,1
jacksjo01,4981,54,0.94,873,785,0.356,0,0,0,0,0,0,0,62.2,0,0
odoulle01,3264,113,0.945,624,542,0.349,77,1,1,4.91,1.99,0,19,0,1,0
delahed01,7510,101,0.916,1600,1466,0.346,0,0,0,0,0,0,0,69.6,0,1
speaktr01,10195,117,0.928,1882,1529,0.345,1,0,0,9,2,0,0,134.7,0,1
willite01,7706,521,1.116,1798,1839,0.344,2,0,0,4.5,1.5,0,1,122,19,1
hamilbi01,6283,40,0.887,1697,742,0.344,0,0,0,0,0,0,0,63.2,0,1
ruthba01,8398,714,1.164,2174,2217,0.342,1221,94,46,2.28,1.16,4,488,183.1,2,1
broutda01,6726,107,0.943,1529,1301,0.342,23,0,2,7.83,2.39,0,8,78.7,0,1
heilmha01,7787,183,0.93,1291,1539,0.342,0,0,0,0,0,0,0,72.5,0,1
terrybi01,6428,154,0.899,1120,1078,0.341,0,0,0,0,0,0,0,56.5,3,1
brownpe01,4820,46,0.87,954,659,0.341,0,0,1,0,0,0,0,40.4,0,0
keelewi01,8591,33,0.803,1719,810,0.341,0,0,0,0,0,0,0,54.2,0,1
gehrilo01,8001,493,1.079,1888,1995,0.34,0,0,0,0,0,0,0,113.6,7,1
sislege01,8267,102,0.847,1284,1175,0.34,111,5,6,2.35,1.29,3,63,57.1,0,1
stenzja01,3031,32,0.887,664,533,0.338,0,0,0,0,0,0,0,21.3,0,0
burkeje01,8426,75,0.861,1720,952,0.338,123,3,11,5.56,1.93,0,84,59.7,0,1
gwynnto01,9288,135,0.847,1383,1138,0.338,0,0,0,0,0,0,0,69.2,15,1
lajoina01,9590,82,0.846,1504,1599,0.338,0,0,0,0,0,0,0,106.9,0,1
stephri01,4508,63,0.88,714,773,0.336,0,0,0,0,0,0,0,32.6,0,0
simmoal01,8759,307,0.915,1507,1827,0.334,0,0,0,0,0,0,0,68.2,3,1
mcgrajo01,3924,13,0.876,1024,462,0.334,0,0,0,0,0,0,0,45.7,0,0
ansonca01,10281,97,0.841,1999,2075,0.334,4,0,1,4.5,1.5,1,1,94.3,0,1
wanerpa01,9459,113,0.877,1627,1309,0.333,0,0,0,0,0,0,0,74.7,4,1
donlimi01,3854,51,0.854,669,543,0.333,16,0,1,7.31,1.88,0,6,28.8,0,0
collied01,9949,47,0.853,1821,1300,0.333,0,0,0,0,0,0,0,124.4,0,1
stantmi02,24,0,0.735,3,3,0.333,1114,68,63,3.92,1.35,84,895,14.3,1,0
keougma02,18,0,0.722,1,0,0.333,1190,58,84,4.17,1.43,0,590,5.9,1,0
gonzami02,3,0,0.4,0,2,0.333,444,17,24,3.14,1.3,56,511,7.8,0,0
ramirra02,6,0,0.4,0,0,0.333,434,23,21,3.42,1.29,9,364,6.6,0,0
magnami01,6,0,0.4,0,1,0.333,617,26,32,4.08,1.46,3,347,5.5,0,0
musiast01,10972,475,0.976,1949,1951,0.331,0,0,0,0,0,0,0,128.6,24,1
thompsa01,5998,126,0.889,1261,1308,0.331,0,0,0,0,0,0,0,44.4,0,1
manushe01,7654,110,0.856,1287,1183,0.33,0,0,0,0,0,0,0,48,1,1
wagneho01,10439,101,0.858,1739,1733,0.328,8,0,0,0,1.63,0,6,130.8,0,1
boggswa01,9180,118,0.858,1513,1014,0.328,2,0,0,4.5,2,0,2,91.4,12,1
carewro01,9315,92,0.822,1424,1015,0.328,0,0,0,0,0,0,0,81.2,18,1
oneilti01,4248,52,0.85,879,757,0.326,289,16,16,3.39,1.46,0,91,0,0,0
duffyhu01,7044,106,0.837,1554,1302,0.326,0,0,0,0,0,0,0,43.1,0,1
foxxji01,8134,534,1.037,1751,1922,0.325,23,1,0,1.57,1.17,0,11,93.1,9,1
dimagjo01,6821,361,0.977,1390,1537,0.325,0,0,0,0,0,0,0,79.2,13,1
combsea01,5746,58,0.859,1186,632,0.325,0,0,0,0,0,0,0,44.7,0,1
fothebo01,3269,36,0.827,453,582,0.325,0,0,0,0,0,0,0,14,0,0
hermaba01,5603,181,0.915,882,997,0.324,0,0,0,0,0,0,0,39.4,0,0
medwijo01,7635,205,0.867,1198,1383,0.324,0,0,0,0,0,0,0,54.5,10,1
roushed01,7363,68,0.815,1099,981,0.323,0,0,0,0,0,0,0,45.6,0,1
youngro01,4627,42,0.84,812,592,0.322,0,0,0,0,0,0,0,32.7,0,1
pikeli01,1979,21,0.807,434,332,0.322,0,0,0,0,0,0,0,14.3,0,0
ricesa01,9269,34,0.801,1514,1078,0.322,39,1,1,2.54,1.28,0,12,54.5,0,1
cuyleki01,7161,128,0.86,1305,1065,0.321,0,0,0,0,0,0,0,47.9,1,1
kleinch01,6486,300,0.922,1168,1201,0.32,0,0,0,0,0,0,0,46.5,2,1
cochrmi01,5169,119,0.897,1041,832,0.32,0,0,0,0,0,0,0,49.9,2,1
gehrich01,8860,184,0.884,1774,1427,0.32,0,0,0,0,0,0,0,84.8,6,1
traynpi01,7559,58,0.797,1183,1273,0.32,0,0,0,0,0,0,0,38.5,2,1
willike01,4862,196,0.923,860,913,0.319,0,0,0,0,0,0,0,43,0,0
guerrvl01,8155,449,0.932,1328,1496,0.318,0,0,0,0,0,0,0,59.5,9,1
averiea01,6353,238,0.929,1224,1164,0.318,0,0,0,0,0,0,0,51.5,6,1
vaughar01,6622,96,0.859,1173,926,0.318,0,0,0,0,0,0,0,78,9,1
puckeki01,7244,207,0.837,1071,1085,0.318,0,0,0,0,0,0,0,51.2,10,1
hafeych01,4625,164,0.898,777,833,0.317,0,0,0,0,0,0,0,31.2,1,1
harrijo03,3035,47,0.876,461,517,0.317,0,0,0,0,0,0,0,26.4,0,0
kellejo01,7006,65,0.853,1421,1194,0.317,0,0,0,0,0,0,0,50.4,0,1
clemero01,9454,240,0.834,1416,1305,0.317,0,0,0,0,0,0,0,94.8,17,1
